state,county,county_fips,Appalachian
AK,Aleutians East Borough,2013,0
AK,Aleutians West Census Area,2016,0
AK,Anchorage Municipality,2020,0
AK,Bethel Census Area,2050,0
AK,Bristol Bay Borough,2060,0
AK,Denali Borough,2068,0
AK,Dillingham Census Area,2070,0
AK,Fairbanks North Star Borough,2090,0
AK,Haines Borough,2100,0
AK,Hoonah-Angoon Census Area,2105,0
AK,Juneau City and Borough,2110,0
AK,Kenai Peninsula Borough,2122,0
AK,Ketchikan Gateway Borough,2130,0
AK,Kodiak Island Borough,2150,0
AK,Lake and Peninsula Borough,2164,0
AK,Matanuska-Susitna Borough,2170,0
AK,Nome Census Area,2180,0
AK,North Slope Borough,2185,0
AK,Northwest Arctic Borough,2188,0
AK,Petersburg Borough,2195,0
AK,Prince of Wales-Hyder Census Area,2198,0
AK,Sitka City and Borough,2220,0
AK,Skagway Municipality,2230,0
AK,Southeast Fairbanks Census Area,2240,0
AK,Valdez-Cordova Census Area,2261,0
AK,Wade Hampton Census Area,2270,0
AK,Wrangell City and Borough,2275,0
AK,Yakutat City and Borough,2282,0
AK,Yukon-Koyukuk Census Area,2290,0
AL,Autauga County,1001,0
AL,Baldwin County,1003,0
AL,Barbour County,1005,0
AL,Bibb County,1007,1
AL,Blount County,1009,1
AL,Bullock County,1011,0
AL,Butler County,1013,0
AL,Calhoun County,1015,1
AL,Chambers County,1017,1
AL,Cherokee County,1019,1
AL,Chilton County,1021,1
AL,Choctaw County,1023,0
AL,Clarke County,1025,0
AL,Clay County,1027,1
AL,Cleburne County,1029,1
AL,Coffee County,1031,0
AL,Colbert County,1033,1
AL,Conecuh County,1035,0
AL,Coosa County,1037,1
AL,Covington County,1039,0
AL,Crenshaw County,1041,0
AL,Cullman County,1043,1
AL,Dale County,1045,0
AL,Dallas County,1047,0
AL,DeKalb County,1049,1
AL,Elmore County,1051,1
AL,Escambia County,1053,0
AL,Etowah County,1055,1
AL,Fayette County,1057,1
AL,Franklin County,1059,1
AL,Geneva County,1061,0
AL,Greene County,1063,0
AL,Hale County,1065,1
AL,Henry County,1067,0
AL,Houston County,1069,0
AL,Jackson County,1071,1
AL,Jefferson County,1073,1
AL,Lamar County,1075,1
AL,Lauderdale County,1077,1
AL,Lawrence County,1079,1
AL,Lee County,1081,0
AL,Limestone County,1083,1
AL,Lowndes County,1085,0
AL,Macon County,1087,1
AL,Madison County,1089,1
AL,Marengo County,1091,0
AL,Marion County,1093,1
AL,Marshall County,1095,1
AL,Mobile County,1097,0
AL,Monroe County,1099,0
AL,Montgomery County,1101,0
AL,Morgan County,1103,1
AL,Perry County,1105,0
AL,Pickens County,1107,1
AL,Pike County,1109,0
AL,Randolph County,1111,1
AL,Russell County,1113,0
AL,Shelby County,1117,1
AL,St. Clair County,1115,1
AL,Sumter County,1119,0
AL,Talladega County,1121,1
AL,Tallapoosa County,1123,1
AL,Tuscaloosa County,1125,1
AL,Walker County,1127,1
AL,Washington County,1129,0
AL,Wilcox County,1131,0
AL,Winston County,1133,1
AR,Arkansas County,5001,0
AR,Ashley County,5003,0
AR,Baxter County,5005,0
AR,Benton County,5007,0
AR,Boone County,5009,0
AR,Bradley County,5011,0
AR,Calhoun County,5013,0
AR,Carroll County,5015,0
AR,Chicot County,5017,0
AR,Clark County,5019,0
AR,Clay County,5021,0
AR,Cleburne County,5023,0
AR,Cleveland County,5025,0
AR,Columbia County,5027,0
AR,Conway County,5029,0
AR,Craighead County,5031,0
AR,Crawford County,5033,0
AR,Crittenden County,5035,0
AR,Cross County,5037,0
AR,Dallas County,5039,0
AR,Desha County,5041,0
AR,Drew County,5043,0
AR,Faulkner County,5045,0
AR,Franklin County,5047,0
AR,Fulton County,5049,0
AR,Garland County,5051,0
AR,Grant County,5053,0
AR,Greene County,5055,0
AR,Hempstead County,5057,0
AR,Hot Spring County,5059,0
AR,Howard County,5061,0
AR,Independence County,5063,0
AR,Izard County,5065,0
AR,Jackson County,5067,0
AR,Jefferson County,5069,0
AR,Johnson County,5071,0
AR,Lafayette County,5073,0
AR,Lawrence County,5075,0
AR,Lee County,5077,0
AR,Lincoln County,5079,0
AR,Little River County,5081,0
AR,Logan County,5083,0
AR,Lonoke County,5085,0
AR,Madison County,5087,0
AR,Marion County,5089,0
AR,Miller County,5091,0
AR,Mississippi County,5093,0
AR,Monroe County,5095,0
AR,Montgomery County,5097,0
AR,Nevada County,5099,0
AR,Newton County,5101,0
AR,Ouachita County,5103,0
AR,Perry County,5105,0
AR,Phillips County,5107,0
AR,Pike County,5109,0
AR,Poinsett County,5111,0
AR,Polk County,5113,0
AR,Pope County,5115,0
AR,Prairie County,5117,0
AR,Pulaski County,5119,0
AR,Randolph County,5121,0
AR,Saline County,5125,0
AR,Scott County,5127,0
AR,Searcy County,5129,0
AR,Sebastian County,5131,0
AR,Sevier County,5133,0
AR,Sharp County,5135,0
AR,St. Francis County,5123,0
AR,Stone County,5137,0
AR,Union County,5139,0
AR,Van Buren County,5141,0
AR,Washington County,5143,0
AR,White County,5145,0
AR,Woodruff County,5147,0
AR,Yell County,5149,0
AZ,Apache County,4001,0
AZ,Cochise County,4003,0
AZ,Coconino County,4005,0
AZ,Gila County,4007,0
AZ,Graham County,4009,0
AZ,Greenlee County,4011,0
AZ,La Paz County,4012,0
AZ,Maricopa County,4013,0
AZ,Mohave County,4015,0
AZ,Navajo County,4017,0
AZ,Pima County,4019,0
AZ,Pinal County,4021,0
AZ,Santa Cruz County,4023,0
AZ,Yavapai County,4025,0
AZ,Yuma County,4027,0
CA,Alameda County,6001,0
CA,Alpine County,6003,0
CA,Amador County,6005,0
CA,Butte County,6007,0
CA,Calaveras County,6009,0
CA,Colusa County,6011,0
CA,Contra Costa County,6013,0
CA,Del Norte County,6015,0
CA,El Dorado County,6017,0
CA,Fresno County,6019,0
CA,Glenn County,6021,0
CA,Humboldt County,6023,0
CA,Imperial County,6025,0
CA,Inyo County,6027,0
CA,Kern County,6029,0
CA,Kings County,6031,0
CA,Lake County,6033,0
CA,Lassen County,6035,0
CA,Los Angeles County,6037,0
CA,Madera County,6039,0
CA,Marin County,6041,0
CA,Mariposa County,6043,0
CA,Mendocino County,6045,0
CA,Merced County,6047,0
CA,Modoc County,6049,0
CA,Mono County,6051,0
CA,Monterey County,6053,0
CA,Napa County,6055,0
CA,Nevada County,6057,0
CA,Orange County,6059,0
CA,Placer County,6061,0
CA,Plumas County,6063,0
CA,Riverside County,6065,0
CA,Sacramento County,6067,0
CA,San Benito County,6069,0
CA,San Bernardino County,6071,0
CA,San Diego County,6073,0
CA,San Francisco County,6075,0
CA,San Joaquin County,6077,0
CA,San Luis Obispo County,6079,0
CA,San Mateo County,6081,0
CA,Santa Barbara County,6083,0
CA,Santa Clara County,6085,0
CA,Santa Cruz County,6087,0
CA,Shasta County,6089,0
CA,Sierra County,6091,0
CA,Siskiyou County,6093,0
CA,Solano County,6095,0
CA,Sonoma County,6097,0
CA,Stanislaus County,6099,0
CA,Sutter County,6101,0
CA,Tehama County,6103,0
CA,Trinity County,6105,0
CA,Tulare County,6107,0
CA,Tuolumne County,6109,0
CA,Ventura County,6111,0
CA,Yolo County,6113,0
CA,Yuba County,6115,0
CO,Adams County,8001,0
CO,Alamosa County,8003,0
CO,Arapahoe County,8005,0
CO,Archuleta County,8007,0
CO,Baca County,8009,0
CO,Bent County,8011,0
CO,Boulder County,8013,0
CO,Broomfield County,8014,0
CO,Chaffee County,8015,0
CO,Cheyenne County,8017,0
CO,Clear Creek County,8019,0
CO,Conejos County,8021,0
CO,Costilla County,8023,0
CO,Crowley County,8025,0
CO,Custer County,8027,0
CO,Delta County,8029,0
CO,Denver County,8031,0
CO,Dolores County,8033,0
CO,Douglas County,8035,0
CO,Eagle County,8037,0
CO,El Paso County,8041,0
CO,Elbert County,8039,0
CO,Fremont County,8043,0
CO,Garfield County,8045,0
CO,Gilpin County,8047,0
CO,Grand County,8049,0
CO,Gunnison County,8051,0
CO,Hinsdale County,8053,0
CO,Huerfano County,8055,0
CO,Jackson County,8057,0
CO,Jefferson County,8059,0
CO,Kiowa County,8061,0
CO,Kit Carson County,8063,0
CO,La Plata County,8067,0
CO,Lake County,8065,0
CO,Larimer County,8069,0
CO,Las Animas County,8071,0
CO,Lincoln County,8073,0
CO,Logan County,8075,0
CO,Mesa County,8077,0
CO,Mineral County,8079,0
