GeoFIPS,GeoName,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
1001,"Autauga, AL",1913079,1953500,1966036,2036671,2145869,2222448,2290351,2371211,2477876,2656173,2915364,2979576,3202452,
1003,"Baldwin, AL",7113915,7314284,7534558,7949643,8504769,9032772,9583207,10139295,10880888,11880306,13527772,14232715,15590410,
1005,"Barbour, AL",767420,758383,799040,796038,826252,813637,818509,842907,873849,926313,1006722,1014902,1033178,
1007,"Bibb, AL",588713,610470,611305,629223,650180,647542,652789,672223,719343,773029,836565,840465,886174,
1009,"Blount, AL",1636989,1719937,1742644,1817414,1888684,1894626,1982125,2072951,2154822,2233724,2542812,2622662,2741524,
1011,"Bullock, AL",255726,264330,261896,257463,264125,266419,267536,272084,283392,314807,346534,340468,367110,
1013,"Butler, AL",599684,616873,638145,664649,691512,679319,697907,704744,719572,751954,860202,886414,920985,
1015,"Calhoun, AL",3738325,3766067,3712764,3800402,3936697,3970877,4049899,4154359,4286419,4602650,5009194,4940395,5234603,
1017,"Chambers, AL",976888,995604,1007148,1024557,1072744,1096109,1094417,1139957,1170886,1247507,1356542,1348988,1423571,
1019,"Cherokee, AL",750284,775909,804442,834579,868112,862695,883238,925082,947492,997447,1120262,1128670,1172249,
1021,"Chilton, AL",1258527,1283482,1294972,1326284,1394155,1419611,1478835,1536627,1624844,1727362,1941956,1991699,2129778,
1023,"Choctaw, AL",398580,427859,450924,459109,462117,461267,472735,488690,490796,511422,548411,537694,560070,
1025,"Clarke, AL",745522,749070,779789,797555,822451,830443,830749,847451,879437,948149,1027120,1004188,1047675,
1027,"Clay, AL",363937,368071,375488,395625,415721,415599,425248,440623,456157,497846,560519,561051,560898,
1029,"Cleburne, AL",428031,450965,469354,492858,510814,505731,521514,535688,541180,570721,651025,681131,707178,
1031,"Coffee, AL",1818580,1842067,1873034,1913215,2006491,2036906,2099499,2179891,2266045,2419786,2736237,2841040,2995530,
1033,"Colbert, AL",1774054,1781605,1802358,1871390,1921562,1956747,1998178,2054230,2143556,2313194,2549390,2593723,2743589,
1035,"Conecuh, AL",347119,349046,369162,364338,376140,373341,384803,397026,401687,428294,469851,463537,480382,
1037,"Coosa, AL",291534,293847,295444,293448,308326,315750,321598,331672,348089,369305,404914,399836,427077,
1039,"Covington, AL",1120373,1137288,1161499,1198160,1224746,1233727,1276020,1309008,1332447,1420093,1572791,1591524,1654918,
1041,"Crenshaw, AL",403098,419782,457578,468883,499363,475531,488395,500398,503965,524572,599864,634933,636831,
1043,"Cullman, AL",2500455,2603554,2755621,2810863,3031021,3000266,3150498,3276350,3464035,3659162,4210211,4510426,4682319,
1045,"Dale, AL",1706248,1676643,1660780,1667237,1704554,1707153,1735387,1785937,1849265,1970617,2185795,2221391,2308824,
1047,"Dallas, AL",1262844,1254236,1253058,1260555,1320223,1322627,1327554,1333745,1372818,1501284,1598227,1554155,1637962,
1049,"DeKalb, AL",1842469,1903521,1973307,2040446,2158685,2117761,2212608,2294412,2349863,2507281,2887860,3034215,3080481,
1051,"Elmore, AL",2836864,2910792,2909288,2973787,3137703,3258300,3382438,3466846,3650182,3915454,4320068,4368603,4731271,
1053,"Escambia, AL",1053026,1093775,1102830,1117586,1132598,1146118,1181527,1181944,1229028,1326936,1474825,1483063,1565568,
1055,"Etowah, AL",3200276,3237697,3247727,3349630,3491980,3543313,3648847,3745235,3855951,4093601,4415727,4441565,4652605,
1057,"Fayette, AL",462292,483433,488673,507481,534705,535007,547172,562170,586407,624918,681667,690046,691543,
1059,"Franklin, AL",884947,894975,902917,936326,988999,978872,1020849,1063978,1089381,1171648,1291457,1353944,1341396,
1061,"Geneva, AL",785192,786800,811126,831299,866577,863888,886918,907023,951247,1020206,1123323,1135431,1197892,
1063,"Greene, AL",244046,242108,263001,241427,256002,257273,256109,251241,261373,283412,307536,286636,296372,
1065,"Hale, AL",463350,471837,486533,476849,507373,512643,519566,524442,560192,612348,661966,652185,695451,
1067,"Henry, AL",563171,569381,597584,621993,647258,669687,690477,716407,759360,806201,938379,936923,966862,
1069,"Houston, AL",3745063,3786782,3780021,3905983,4044239,4140656,4236400,4437058,4691900,5092430,5554943,5623055,5957210,
1071,"Jackson, AL",1615931,1646041,1689202,1725016,1758762,1786465,1824085,1884993,1941776,2050085,2280345,2339423,2451574,
1073,"Jefferson, AL",28554058,29762392,29412361,30475347,32062588,32579052,34375717,35801584,36848121,39111547,43744242,44950955,48021700,
1075,"Lamar, AL",399888,414094,414265,420712,435048,440361,446055,457700,478851,513900,548134,547037,574029,
1077,"Lauderdale, AL",2949955,2992085,2997124,3127202,3192944,3225588,3272545,3380826,3570397,3957339,4265906,4307752,4568957,
1079,"Lawrence, AL",963483,987124,1045400,1073790,1055137,1034107,1071624,1114310,1181590,1250827,1399627,1458662,1507541,
1081,"Lee, AL",4482826,4789381,4857382,5153727,5444984,5704763,5969714,6230684,6714439,7174079,8048219,8360193,8958158,
1083,"Limestone, AL",3058655,3180703,3260230,3369327,3500387,3656823,3885537,4156699,4483870,4939677,5716220,5986392,6568331,
1085,"Lowndes, AL",344281,361353,376920,384910,388564,379304,391512,393111,408072,446560,483172,498208,517936,
1087,"Macon, AL",557181,549931,550100,560483,571548,584352,586688,591711,615291,676564,719840,719916,763522,
1089,"Madison, AL",14815319,15151995,15250396,15789298,16515863,17124350,17864513,18866501,20113981,21908406,24070200,25267266,27345440,
1091,"Marengo, AL",653216,666242,669965,687393,702067,703747,712762,744010,770948,845558,902114,879478,930209,
1093,"Marion, AL",794221,828680,836907,876885,909860,905351,938074,960712,986057,1083302,1206178,1264933,1325490,
1095,"Marshall, AL",2786450,2906939,2939011,3034196,3232578,3211447,3319658,3449773,3667876,4022308,4532402,4684067,4934754,
1097,"Mobile, AL",13917012,13787418,13961020,14275921,14862860,14959196,15237819,15723309,16310095,17649036,19753250,19894018,21197626,
1099,"Monroe, AL",621981,617477,629957,646875,672526,674047,679368,688619,705412,763044,832991,824872,850410,
1101,"Montgomery, AL",8562633,8517142,8563079,8771440,9117897,9359460,9582023,9748649,9918583,10522981,11282453,11517277,12242570,
1103,"Morgan, AL",3951655,4037910,4078113,4251357,4348315,4381746,4524951,4727652,4965766,5328966,5752511,5910214,6244332,
