"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"0500000US01003","Baldwin County, Alabama","0.4539","0.0313",
"0500000US01015","Calhoun County, Alabama","0.4532","0.0236",
"0500000US01043","Cullman County, Alabama","0.4274","0.0239",
"0500000US01049","DeKalb County, Alabama","0.5274","0.0782",
"0500000US01051","Elmore County, Alabama","0.4370","0.0378",
"0500000US01055","Etowah County, Alabama","0.4450","0.0298",
"0500000US01069","Houston County, Alabama","0.4932","0.0237",
"0500000US01073","Jefferson County, Alabama","0.5038","0.0141",
"0500000US01077","Lauderdale County, Alabama","0.4588","0.0263",
"0500000US01081","Lee County, Alabama","0.4928","0.0294",
"0500000US01083","Limestone County, Alabama","0.4534","0.0546",
"0500000US01089","Madison County, Alabama","0.4639","0.0203",
"0500000US01095","Marshall County, Alabama","0.4909","0.0494",
"0500000US01097","Mobile County, Alabama","0.4640","0.0133",
"0500000US01101","Montgomery County, Alabama","0.4895","0.0287",
"0500000US01103","Morgan County, Alabama","0.4678","0.0321",
"0500000US01115","St. Clair County, Alabama","0.4411","0.0540",
"0500000US01117","Shelby County, Alabama","0.4470","0.0206",
"0500000US01121","Talladega County, Alabama","0.4643","0.0272",
"0500000US01125","Tuscaloosa County, Alabama","0.4863","0.0207",
"0500000US02020","Anchorage Municipality, Alaska","0.4336","0.0193",
"0500000US02090","Fairbanks North Star Borough, Alaska","0.4216","0.0235",
"0500000US02170","Matanuska-Susitna Borough, Alaska","0.4275","0.0184",
"0500000US04001","Apache County, Arizona","0.5597","0.0855",
"0500000US04003","Cochise County, Arizona","0.4213","0.0213",
"0500000US04005","Coconino County, Arizona","0.4742","0.0276",
"0500000US04013","Maricopa County, Arizona","0.4608","0.0049",
"0500000US04015","Mohave County, Arizona","0.4834","0.0220",
"0500000US04017","Navajo County, Arizona","0.4386","0.0214",
"0500000US04019","Pima County, Arizona","0.4676","0.0117",
"0500000US04021","Pinal County, Arizona","0.3966","0.0146",
"0500000US04025","Yavapai County, Arizona","0.4269","0.0170",
"0500000US04027","Yuma County, Arizona","0.4302","0.0250",
"0500000US05007","Benton County, Arkansas","0.4332","0.0170",
"0500000US05031","Craighead County, Arkansas","0.4831","0.0252",
"0500000US05045","Faulkner County, Arkansas","0.4629","0.0315",
"0500000US05051","Garland County, Arkansas","0.4531","0.0400",
"0500000US05069","Jefferson County, Arkansas","0.4398","0.0314",
"0500000US05085","Lonoke County, Arkansas","0.4373","0.0391",
"0500000US05119","Pulaski County, Arkansas","0.5234","0.0201",
"0500000US05125","Saline County, Arkansas","0.3908","0.0273",
"0500000US05131","Sebastian County, Arkansas","0.5093","0.0309",
"0500000US05143","Washington County, Arkansas","0.4555","0.0251",
"0500000US05145","White County, Arkansas","0.4475","0.0387",
"0500000US06001","Alameda County, California","0.4739","0.0072",
"0500000US06007","Butte County, California","0.4765","0.0386",
"0500000US06013","Contra Costa County, California","0.4745","0.0090",
"0500000US06017","El Dorado County, California","0.4813","0.0293",
"0500000US06019","Fresno County, California","0.4779","0.0142",
"0500000US06023","Humboldt County, California","0.4689","0.0202",
"0500000US06025","Imperial County, California","0.4413","0.0225",
"0500000US06029","Kern County, California","0.4647","0.0122",
"0500000US06031","Kings County, California","0.4203","0.0240",
"0500000US06033","Lake County, California","0.4745","0.0455",
"0500000US06037","Los Angeles County, California","0.4986","0.0039",
"0500000US06039","Madera County, California","0.5229","0.0494",
"0500000US06041","Marin County, California","0.5324","0.0154",
"0500000US06045","Mendocino County, California","0.4902","0.0484",
"0500000US06047","Merced County, California","0.4811","0.0360",
"0500000US06053","Monterey County, California","0.4631","0.0211",
