fips,State,County,Year,Male life expectancy (years),Female life expectancy (years),White male life expectancy (years),White female life expectancy (years),Black male life expectancy (years),Black female life expectancy (years)
1001,ALABAMA,AUTAUGA,1987,69.2,77.4,70.3,78.5,,73.4
1001,ALABAMA,AUTAUGA,1988,69.3,77.3,70.5,78.4,64.3,73.3
1001,ALABAMA,AUTAUGA,1989,69.8,77.5,71,78.6,64.7,73.5
1001,ALABAMA,AUTAUGA,1990,69.7,77.7,71,78.7,64.4,73.6
1001,ALABAMA,AUTAUGA,1991,70,77.7,71.2,78.8,64.5,73.5
1001,ALABAMA,AUTAUGA,1992,70.2,77.8,71.4,78.9,64.7,73.7
1001,ALABAMA,AUTAUGA,1993,70.4,78.2,71.6,79.2,64.9,74
1001,ALABAMA,AUTAUGA,1994,70.1,78.1,71.3,79.1,64.3,73.9
1001,ALABAMA,AUTAUGA,1995,70.1,78.2,71.3,79.2,64.2,74
1001,ALABAMA,AUTAUGA,1996,70.5,78,71.7,79,64.7,73.8
1001,ALABAMA,AUTAUGA,1997,70.7,78.2,71.9,79.2,,74.1
1001,ALABAMA,AUTAUGA,1998,71,78.1,72.2,79.1,65.4,74
1001,ALABAMA,AUTAUGA,1999,71.5,78.2,72.6,79,66.2,74.1
1001,ALABAMA,AUTAUGA,2000,72.1,78.4,73,79.3,67,74.4
1001,ALABAMA,AUTAUGA,2001,72.3,78.6,73.2,79.4,67.3,74.7
1001,ALABAMA,AUTAUGA,2002,72.5,78.7,73.5,79.5,67.7,74.8
1001,ALABAMA,AUTAUGA,2003,72.7,78.5,73.6,79.3,67.8,74.6
1001,ALABAMA,AUTAUGA,2004,72.9,78.7,73.8,79.5,68.1,74.9
1001,ALABAMA,AUTAUGA,2005,72.9,78.5,73.9,79.3,68.2,74.8
1001,ALABAMA,AUTAUGA,2006,72.9,78.2,73.8,78.9,68.1,74.5
1001,ALABAMA,AUTAUGA,2007,72.9,78,73.9,78.8,68.1,74.5
1001,ALABAMA,AUTAUGA,2008,72.8,78.2,73.7,78.9,68,74.9
1001,ALABAMA,AUTAUGA,2009,72.9,78.6,73.8,79.3,68.3,75.4
1003,ALABAMA,BALDWIN,1987,71.5,78.7,72.2,79.3,66.3,74.5
1003,ALABAMA,BALDWIN,1988,71.7,78.8,72.4,79.4,66.3,74.6
1003,ALABAMA,BALDWIN,1989,72.1,79,72.8,79.6,66.5,74.8
1003,ALABAMA,BALDWIN,1990,72.2,79.3,72.9,79.8,66.5,75
1003,ALABAMA,BALDWIN,1991,72.4,79.1,73.1,79.7,66.6,74.7
1003,ALABAMA,BALDWIN,1992,72.6,79.2,73.3,79.8,66.6,74.8
1003,ALABAMA,BALDWIN,1993,72.5,79.5,73.3,80,66.4,75
1003,ALABAMA,BALDWIN,1994,72.7,79.6,73.5,80.1,66.5,75.1
1003,ALABAMA,BALDWIN,1995,72.5,79.6,73.3,80.2,66.2,75.2
1003,ALABAMA,BALDWIN,1996,72.9,79.9,73.7,80.4,66.6,75.5
1003,ALABAMA,BALDWIN,1997,73.4,79.9,74.1,80.4,67.3,75.6
1003,ALABAMA,BALDWIN,1998,73.7,79.7,74.4,80.2,67.7,75.4
1003,ALABAMA,BALDWIN,1999,73.9,79.8,74.6,80.2,68,75.5
1003,ALABAMA,BALDWIN,2000,74.1,79.8,74.7,80.2,68.3,75.6
1003,ALABAMA,BALDWIN,2001,74.1,79.7,74.7,80.2,68.4,75.6
1003,ALABAMA,BALDWIN,2002,74.1,79.7,74.7,80.1,68.5,75.5
1003,ALABAMA,BALDWIN,2003,74,79.8,74.6,80.2,68.5,75.7
1003,ALABAMA,BALDWIN,2004,73.9,80,74.4,80.4,68.6,76.1
1003,ALABAMA,BALDWIN,2005,74,80,74.5,80.4,68.7,76.2
1003,ALABAMA,BALDWIN,2006,74.1,80.3,74.6,80.7,68.8,76.5
1003,ALABAMA,BALDWIN,2007,74.4,80.3,75,80.7,69.2,76.5
1003,ALABAMA,BALDWIN,2008,74.8,80.4,75.3,80.8,69.7,76.8
1003,ALABAMA,BALDWIN,2009,74.9,80.4,75.4,80.7,69.9,76.8
1005,ALABAMA,BARBOUR,1987,68,76.1,70.4,78.5,64.2,73
1005,ALABAMA,BARBOUR,1988,68,76.3,70.5,78.7,64.1,73.2
1005,ALABAMA,BARBOUR,1989,67.9,76.6,70.5,79,63.8,73.5
1005,ALABAMA,BARBOUR,1990,67.3,76.5,70.2,78.9,63.1,73.5
1005,ALABAMA,BARBOUR,1991,67.1,76.3,70.2,78.7,62.9,73.3
1005,ALABAMA,BARBOUR,1992,67,76.7,70.2,79,62.7,73.6
1005,ALABAMA,BARBOUR,1993,67.6,76.8,70.8,79.2,63.3,73.8
1005,ALABAMA,BARBOUR,1994,68.2,76.9,71.3,79.3,63.9,73.9
1005,ALABAMA,BARBOUR,1995,68.1,76.9,71.3,79.3,63.9,73.9
1005,ALABAMA,BARBOUR,1996,68.7,77,71.8,79.4,64.6,74
